serial_number;comment
74;Температура воздуха 2 в сбросном воздуховоде КШТ
126;АВГМ
118;Температура воздуха 2 в сбросном воздуховоде КШТ
124;Температура воздуха 2 в сбросном воздуховоде КШТ
6193813;Давление воздуха в полости средней опоры (Рв.пол.ср.оп)
6193944;Давление масла на входе в СТ
6193953;Давление воздуха в блоке (точка 1)
6193949;Давление воздуха за КВД
6193812;Давление воздуха в полости средней опоры
6193806;Давление масла на входе в двигатель (Рм.вх.ст)
6193943;Давление топливного газа на входе в двигатель (Ртг.вх)
6193940;Давление топливного газа на входе в двигатель (Ртг.вх)
6193945;Давление воздуха за КВД (Рв.квд)
6193946;Давление масла на входе в СТ (Рм.вх.ст)
6193955;Давление воздуха в блоке (точка 2)
6193956;Перепад давления воздуха в БД (в КШТ, точка 1) (dPвКШТ1)
6211642;Давление газа выход ЦБИ
6211641;Давление газа выход ЦБИ
6211643;Давление газа в нагнетании компрессора (PITXX2)
6211658;Давление воздуха на входе в ЦБК (РвВхЦБК)
6211654;Давление воздуха на входе в ЦБК (РвВхЦБК)
6211660;Давление воздуха на выходе из ВД1 и ВД2 (РвВыхВД1ВД2)
6211716;Перепад давления на фильтре барьерного воздуха на входе в СГУ
6215373;Давление масла на выходе из двигателя (Рм.вых.гтд)
6215371;Давление масла на выходе из двигателя (Рм.вых.гтд)
6218097;Давление воздуха в системе охлаждения трансмиссии (РвТр)
6219021;Перепад давления масла на фильтрах Ф202 и Ф203 из бака в ГТД (∆Рм.ф.1)
001716;Давление газа перед фильтрами БФТГ (PIT1)
001718;Давление газа перед фильтрами БФТГ (PIT1)
007082;Низкий уровень масла в баке расходном
007083;Низкий уровень масла в баке расходном
014877;Перепад давления газа на защитной решетке перед ЦБК (dРрешЦБК)
017437;Давление газа после крана №2 (РКр2)
017436;Давление газа после крана №2 (РКр2)
017447;Преобразователи давления измерительные
6211645;Датчики давления
3555;Учёт расхода топливного газа
3599;Учёт расхода топливного газа
22703;Виброскорость двигателя секции 8.2- М-6
22704;Виброскорость двигателя секции 1- М-4
22705;Виброскорость двигателя секции 12.1- М-2
22706;Виброскорость двигателя секции 2- М-2 
22707;Виброскорость двигателя секции 7.1- М-3
22708;Виброскорость двигателя секции 7.2- М-5 
22709;Виброскорость двигателя секции 7.1- М-2
22710;Виброскорость двигателя секции 7.1- М-6
22711;Виброскорость двигателя секции 13.1- М-1 
22712;Виброскорость двигателя секции 10.1- М-6
22713;Виброскорость двигателя секции 6.1- М-4 
22714;Виброскорость двигателя секции 9.2- М-5
22715;Виброскорость двигателя секции 13- М-2
22716;Виброскорость двигателя секции 9.1- М-1 
22717;Виброскорость двигателя секции 9.2- М-4
22718;Виброскорость двигателя секции 13.2- М-4
22719;Виброскорость двигателя секции 1- М-6
22720;Виброскорость двигателя секции 10.2- М-5
22721;Виброскорость двигателя секции 3- М-5
22722;Виброскорость двигателя секции 11.1- М-3
22723;Виброскорость двигателя секции 10.1- М-4
22724;Виброскорость двигателя секции 10.1- М-2
22725;Виброскорость двигателя секции 10.1- М-1 
22726;Виброскорость двигателя секции 1- М-2
22727;Виброскорость двигателя секции 4.2- М-6 
22728;Виброскорость двигателя секции 12.1- М-1 
