name;type;manufacturer;serial_number;model;poz;location;tag
Эл. привод;РэмТэк;ООО НПП ТЭК;21222;П.250.4.60.8100.V.15.3.УХЛ1;КГС 205;скв-4;Кш 8.4
Эл. привод;РэмТэк;ООО НПП ТЭК;21093;Л.18000.4.100.298.8100.V.16.3.УХЛ1;КГС 205;скв-4;Кр 3\4
Эл. привод;РэмТэк;ООО НПП ТЭК;21155;М.300.60.Б.8100.S.15.3.УХЛ1;КГС 205;скв-4;Зд 1\4
Эл. привод;РэмТэк;ООО НПП ТЭК;21239;П.250.4.60.8100.V.15.3.УХЛ1;КГС 205;скв-5;Кш 8.5
Эл. привод;РэмТэк;ООО НПП ТЭК;00000060;;КГС 205;скв-5;Кш 9.5
Эл. привод;РэмТэк;ООО НПП ТЭК;21085;Л.18000.4.100.298.8100.V.16.3.УХЛ1;КГС 205;скв-5;Кр 3\5
Эл. привод;РэмТэк;ООО НПП ТЭК;21137;М.300.60.Б.8100.S.15.3.УХЛ1;КГС 205;скв-5;Зд 1\5
Эл. привод;РэмТэк;ООО НПП ТЭК;21231;П.250.4.60.8100.V.15.3.УХЛ1;КГС 205;скв-6;Кш 9.6
Эл. привод;РэмТэк;ООО НПП ТЭК;212256;П.250.4.60.8100.V.15.3.УХЛ1;КГС 205;скв-6;Кш 8.6
Эл. привод;РэмТэк;ООО НПП ТЭК;21086;Л.18000.4.100.298.8100.V.16.3.УХЛ1;КГС 205;скв-6;Кр 3\6
Эл. привод;РэмТэк;ООО НПП ТЭК;21151;М.300.60.Б.8100.S.15.3.УХЛ1;КГС 205;скв-6;Зд 1\6
Эл. привод;РэмТэк;ООО НПП ТЭК;21262;П.250.4.60.8100.V.15.3.УХЛ1;КГС 205;скв-7;Кш 8.7
Эл. привод;РэмТэк;ООО НПП ТЭК;21238;П.250.4.60.8100.V.15.3.УХЛ1;КГС 205;скв-7;Кш 9.7
Эл. привод;РэмТэк;ООО НПП ТЭК;21091;Л.18000.4.100.298.8100.V.16.3.УХЛ1;КГС 205;скв-7;Кр 3\7
Эл. привод;РэмТэк;ООО НПП ТЭК;21150;М.300.30.Б.8100.S.15.3.УХЛ1;КГС 205;скв-7;Зд 1\7
Эл. привод;РэмТэк;ООО НПП ТЭК;212330;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 205;КШМ;КШМ
Эл. привод;РэмТэк;ООО НПП ТЭК;0000018;П.250.4.60.8100.V.15.3.УХЛ1;КГС 206;скв-1;Кш 8.1
Эл. привод;РэмТэк;ООО НПП ТЭК;00000045;П.250.4.60.8100.V.15.3.УХЛ1;КГС 206;скв-1;Кш 9.1
Эл. привод;РэмТэк;ООО НПП ТЭК;21080;Л.18000.4.100.298.8100.V.16.3.УХЛ1;КГС 206;скв-1;Кр 3\1
Эл. привод;РэмТэк;ООО НПП ТЭК;21148;М.300.60.Б.8100.S.15.3.УХЛ1;КГС 206;скв-1;Зд 1\1
